model_index,model_name,model_human_corr,beta_acc_15_30_45_60_75,model_base_model_name,model_layer_name,model_contourtraining_diet,model_contourtraining_finetune
22,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_1/model_alexnet-pytorch-regim-categ_layer_classifier-1_mode_finetune_beta_015.pt,0.7080371000387687,[0.9825 0.855  0.56   0.495  0.5025],alexnet-pytorch_regim_categ,classifier.1,15,True
23,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_1/model_alexnet-pytorch-regim-categ_layer_classifier-1_mode_finetune_beta_006.pt,0.6185746473004936,[0.9375 0.5825 0.5025 0.495  0.495 ],alexnet-pytorch_regim_categ,classifier.1,6,True
24,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_1/model_alexnet-pytorch-regim-categ_layer_classifier-1_mode_finetune_beta_016.pt,0.7070459059829045,[0.9775 0.885  0.5975 0.51   0.485 ],alexnet-pytorch_regim_categ,classifier.1,16,True
25,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_1/model_alexnet-pytorch-regim-categ_layer_classifier-1_mode_finetune_beta_004.pt,0.6024484617140172,[0.9275 0.5675 0.5025 0.495  0.495 ],alexnet-pytorch_regim_categ,classifier.1,4,True
26,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_1/model_alexnet-pytorch-regim-categ_layer_classifier-1_mode_finetune_beta_014.pt,0.7056102759439153,[0.9875 0.8725 0.5625 0.5025 0.485 ],alexnet-pytorch_regim_categ,classifier.1,14,True
27,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_1/model_alexnet-pytorch-regim-categ_layer_classifier-1_mode_finetune_beta_090.pt,-0.366216195123589,[0.4925 0.495  0.4825 0.5175 0.7975],alexnet-pytorch_regim_categ,classifier.1,90,True
28,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_1/model_alexnet-pytorch-regim-categ_layer_classifier-1_mode_finetune_beta_026.pt,0.7449269843738,[0.975 0.975 0.87  0.57  0.48 ],alexnet-pytorch_regim_categ,classifier.1,26,True
29,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_1/model_alexnet-pytorch-regim-categ_layer_classifier-1_mode_finetune_beta_060.pt,-0.5082602264481767,[0.4825 0.605  0.9275 0.9775 0.8875],alexnet-pytorch_regim_categ,classifier.1,60,True
30,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_1/model_alexnet-pytorch-regim-categ_layer_classifier-1_mode_finetune_beta_020.pt,0.7461856662841285,[0.9875 0.94   0.705  0.515  0.4775],alexnet-pytorch_regim_categ,classifier.1,20,True
31,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_1/model_alexnet-pytorch-regim-categ_layer_classifier-1_mode_finetune_beta_002.pt,0.6068339876403704,[0.9    0.5575 0.5025 0.495  0.4975],alexnet-pytorch_regim_categ,classifier.1,2,True
